"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"246036_at";1136;5.0902;"0.0073";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"246273_at";1373;14.3775;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"246531_at";1631;9.4594;"0,0008";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"247490_at";2590;30.9175;"0";"0";NA;NA;NA;NA;NA;NA;235.2749;"0";"0"
"247866_at";2966;17.2546;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250445_at";5545;16.335;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250942_at";6042;7.7404;"0.0047";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251677_at";6777;10.1408;"0.001";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"253502_at";8602;5.7119;"0.0088";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"254452_at";9552;34.347;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"257365_x_at";12465;9.9425;"0.0015";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264514_at";19614;15.578;"0";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"264635_at";19735;6.763;"0.005";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
